Startup_ID,Domain,Startup_Stage,Industry_Funder_Type,Investment_Amount,Valuation,Number_of_Investors,Year_Founded,Growth_Rate_Cent
ST101126,Blockchain,Idea,VC Firm,4686088003.94,7508720642.383116,35,2006,117.39
ST101127,AgriTech,Idea,Corporate R&D,1715842438.85,8120631402.365443,19,2013,102.91
ST101128,Blockchain,Early Revenue,Angel Investor,2637191041.7,10730447491.277962,41,2001,56.48
ST101129,Energy,Early Revenue,Government Grant,2898352053.3,9998845014.979565,21,2021,14.33
ST101130,Energy,Prototype,VC Firm,1152888549.95,5405145241.798177,29,2015,166.29
ST101131,Smart Cities,Idea,Government Grant,642873638.83,2793254912.837192,47,2022,139.4
ST101132,Blockchain,MVP,Angel Investor,2953336392.76,6030308906.874454,2,2019,175.28
ST101133,Smart Cities,Early Revenue,Angel Investor,1632145013.11,7360437143.524407,38,2010,136.53
ST101134,Smart Cities,Idea,Government Grant,751558475.11,1984519969.70568,35,2020,45.03
ST101135,Smart Cities,Idea,Corporate R&D,2546766569.7,6940637752.225491,3,2014,113.66
ST101136,Smart Cities,Prototype,Corporate R&D,380246116.93,1650899315.1356175,45,2005,137.07
ST101137,Healthcare,MVP,VC Firm,3240721400.4,14149777184.835669,33,2017,104.68
ST101138,AgriTech,Idea,Angel Investor,2552877798.96,7633324893.2371,40,2014,43.24
ST101139,AgriTech,MVP,Government Grant,2293570166.01,10759511438.52989,22,2017,21.16
ST101140,Smart Cities,Early Revenue,Angel Investor,2940891408.38,11675009522.278442,44,2006,5.49
ST101141,AI,Idea,Corporate R&D,2022260825.84,3921632545.149476,13,2000,92.66
ST101142,AI,MVP,Corporate R&D,3077073966.79,7171280806.200001,22,2019,92.29
ST101143,Smart Cities,Early Revenue,Government Grant,3524599148.07,8345803831.333146,30,2003,91.87
ST101144,IoT,Early Revenue,VC Firm,1128773436.24,4289980582.534249,17,2012,59.94
ST101145,AgriTech,Prototype,Corporate R&D,439206678.57,1101213801.2080586,32,2011,29.17
ST101146,Healthcare,Prototype,Corporate R&D,749253423.46,1996649741.3525083,20,2018,109.14
ST101147,Healthcare,MVP,Corporate R&D,3794729464.45,6834985594.27775,41,2022,89.5
ST101148,AI,MVP,Corporate R&D,452112328.98,1560951654.898835,2,2000,38.88
ST101149,AI,Idea,Angel Investor,3846052508.26,16333393893.030138,26,2013,91.35
ST101150,Healthcare,Idea,Government Grant,2704717602.7,8547302181.510029,10,2017,136.85
ST101151,AgriTech,MVP,VC Firm,2414363821.48,7706761532.673634,16,2007,192.79
ST101152,Energy,Early Revenue,Angel Investor,1729427895.02,7332197536.678609,19,2005,56.98
ST101153,Blockchain,Idea,Angel Investor,3776870165.75,16282267405.582644,37,2006,198.3
ST101154,AI,Prototype,Government Grant,2162625290.73,6177030712.634724,32,2013,84.78
ST101155,Energy,MVP,Government Grant,4828048903.22,15871336508.841732,12,2005,88.52
ST101156,AI,Early Revenue,Corporate R&D,3937307679.83,8113515161.584524,26,2016,160.24
ST101157,Energy,Prototype,Corporate R&D,739322891.98,3274943136.0211115,21,2010,18.58
ST101158,AI,MVP,Corporate R&D,2106179424.91,4607917081.394622,38,2013,40.91
ST101159,AgriTech,Early Revenue,Corporate R&D,2112134764.82,9805022550.253832,26,2012,74.53
ST101160,Smart Cities,Prototype,VC Firm,4668903578.12,13526446561.628494,31,2002,36.29
ST101161,AgriTech,MVP,Government Grant,343906388.44,571702304.8007686,24,2001,91.29
ST101162,Energy,Early Revenue,VC Firm,3983533459.34,10375969580.723234,38,2019,158.87
ST101163,Smart Cities,Prototype,Corporate R&D,1890324918.72,6958911558.329059,23,2013,60.06
ST101164,Energy,MVP,VC Firm,3559033320.35,7246597131.266687,29,2022,188.74
ST101165,Healthcare,Prototype,Government Grant,847204293.67,2755500792.4756474,18,2019,156.81
ST101166,AI,Prototype,VC Firm,3107407419.1,8852918681.956612,33,2000,45.6
ST101167,Smart Cities,MVP,Angel Investor,319293520.03,1134381955.042842,40,2015,125.87
ST101168,Sustainability,Idea,VC Firm,2743730620.21,6235117152.174671,12,2021,128.53
ST101169,IoT,Idea,Angel Investor,2007311334.91,3172721560.6251616,26,2022,81.98
ST101170,AgriTech,Idea,Corporate R&D,4347181012.7,15037976007.558252,19,2008,148.38
ST101171,Blockchain,Prototype,Angel Investor,319602741.88,658827117.8537084,48,2012,191.59
ST101172,Sustainability,MVP,Corporate R&D,403222281.03,638575210.4015985,32,2020,116.47
ST101173,Energy,MVP,Government Grant,33121375.03,84282212.3011217,46,2005,155.3
ST101174,Sustainability,Early Revenue,Angel Investor,2089361617.87,4472560027.735761,10,2016,109.96
ST101175,Energy,MVP,Government Grant,1399427483.43,6776477029.057709,41,2010,121.35
ST101176,Sustainability,MVP,Corporate R&D,4304958725.96,17599455888.613483,20,2012,42.09
ST101177,Sustainability,MVP,Angel Investor,2242061422.63,7775391860.059752,2,2010,79.25
ST101178,Sustainability,Early Revenue,Corporate R&D,4065983062.94,8227629018.404073,21,2007,198.34
ST101179,IoT,Early Revenue,Angel Investor,4323683627.7,9882669504.725958,23,2004,167.1
ST101180,AgriTech,MVP,VC Firm,208535611.29,769586916.0438031,43,2009,121.39
ST101181,AgriTech,MVP,Government Grant,1151782129.04,2199050019.258341,42,2023,15.01
ST101182,Healthcare,Early Revenue,Angel Investor,1544517369.22,5186021990.418882,2,2022,53.57
ST101183,AgriTech,Early Revenue,Corporate R&D,3497175420.2,11555414362.573805,45,2000,34.12
ST101184,Sustainability,Idea,Corporate R&D,2639744566.92,11938383803.282526,29,2005,49.02
ST101185,AgriTech,MVP,Corporate R&D,2378574588.1,10821661608.954847,1,2003,93.93
ST101186,Sustainability,MVP,Corporate R&D,1538901086.4,2714926920.8463783,33,2015,196.64
ST101187,Blockchain,MVP,Corporate R&D,3194811673.49,13008539797.74497,41,2007,120.71
ST101188,Smart Cities,Prototype,VC Firm,3194755399.07,5990554820.811479,9,2010,179.52
ST101189,Blockchain,Early Revenue,Government Grant,1104331063.2,4071418541.25467,22,2006,35.42
ST101190,AI,MVP,Angel Investor,4158148572.86,11502592290.11436,46,2003,186.24
ST101191,IoT,Early Revenue,VC Firm,3450065515.55,14138894650.76234,2,2020,8.68
ST101192,Sustainability,Early Revenue,Angel Investor,1250076554.93,4126750412.0230255,7,2012,134.22
ST101193,Blockchain,Prototype,Angel Investor,1458067663.8,3517624749.0425158,20,2020,136.34
ST101194,AI,Early Revenue,Angel Investor,339536799.43,554329531.6649352,2,2003,191.14
ST101195,Blockchain,MVP,Government Grant,4841406255.34,7338419456.021241,39,2013,88.49
ST101196,Blockchain,Early Revenue,Corporate R&D,4170911395.85,14116786258.101171,11,2001,109.76
ST101197,Smart Cities,Prototype,Angel Investor,1687613889.18,7534509596.303051,13,2023,142.22
ST101198,IoT,MVP,Corporate R&D,4676671956.42,17898205806.70332,42,2021,86.85
ST101199,Sustainability,MVP,Angel Investor,4647165719.71,19241387544.533997,18,2009,27.96
ST101200,IoT,Early Revenue,Angel Investor,2392014027.67,11103628902.599342,40,2018,82.51
ST101201,Sustainability,Idea,Corporate R&D,179540623.19,395325923.7565037,40,2009,151.68
ST101202,Sustainability,Early Revenue,Angel Investor,2421678139.71,7419202545.73799,28,2022,162.42
ST101203,AI,MVP,Government Grant,1522536274.77,4724328248.333008,49,2003,189.53
ST101204,AgriTech,Prototype,VC Firm,951794782.32,2257274244.4451923,26,2021,37.83
ST101205,Healthcare,Prototype,Government Grant,1965089034.54,5675271682.118538,47,2001,119.05
ST101206,Smart Cities,MVP,Government Grant,2316814051.32,11009744553.07169,24,2020,115.23
ST101207,AI,Early Revenue,Government Grant,3114491751.75,14884371517.912252,15,2009,187.59
ST101208,IoT,MVP,VC Firm,2709474361.14,5097848423.917823,49,2013,111.32
ST101209,Blockchain,MVP,Angel Investor,2247338329.49,5368327022.8657,29,2009,152.05
ST101210,AI,Idea,VC Firm,4918160795.26,22959331723.704647,16,2011,89.91
ST101211,Healthcare,Idea,Angel Investor,2436765320.48,5200596802.008002,41,2010,115.55
ST101212,IoT,Idea,VC Firm,812833898.0,3500258139.171586,29,2007,98.59
ST101213,Healthcare,Prototype,VC Firm,1907151142.49,4338327897.864131,23,2016,184.43
ST101214,Energy,Early Revenue,Government Grant,2436408210.88,4692198036.348744,49,2001,178.45
ST101215,AI,MVP,Angel Investor,2618285428.1,5590173995.398661,16,2006,147.98
ST101216,Energy,MVP,Corporate R&D,1505452419.56,3064725304.449846,43,2020,93.33
ST101217,Blockchain,MVP,Corporate R&D,3455393182.36,12445424786.813805,1,2023,165.73
ST101218,Energy,Idea,Angel Investor,836107465.7,3300679340.716698,15,2011,7.82
ST101219,Sustainability,MVP,Government Grant,642356233.51,1530476728.7391949,20,2007,197.03
ST101220,Sustainability,Idea,VC Firm,3668341748.32,9191743061.33862,14,2019,167.96
ST101221,AI,MVP,Corporate R&D,949597494.39,3757321509.745197,3,2009,96.74
ST101222,Smart Cities,Idea,Angel Investor,2454454611.63,12153659227.031569,7,2014,139.99
ST101223,AgriTech,Early Revenue,Government Grant,1706899548.42,6602119751.469087,24,2009,38.38
ST101224,Sustainability,MVP,VC Firm,961523412.82,4065442903.24488,42,2013,84.0
ST101225,Healthcare,Prototype,Corporate R&D,2581532541.53,11492766707.498692,1,2005,121.86
ST101226,IoT,Prototype,VC Firm,3651896591.65,17659527292.0952,21,2018,85.81
ST101227,Energy,Early Revenue,Angel Investor,3554932308.26,15786246579.322483,31,2004,112.05
ST101228,Smart Cities,Early Revenue,VC Firm,1028831622.92,4119454060.180579,50,2006,108.1
ST101229,Sustainability,MVP,Angel Investor,2136513742.41,3946860452.602682,15,2011,168.78
ST101230,IoT,MVP,VC Firm,3161763370.64,9704358841.55861,29,2020,98.61
ST101231,Blockchain,Early Revenue,Corporate R&D,1814196555.1,4570541466.586608,48,2020,181.97
ST101232,AgriTech,MVP,VC Firm,4033271025.81,13377000451.948845,10,2002,166.21
ST101233,Smart Cities,Prototype,Angel Investor,4164071589.51,6651839856.595378,40,2020,29.21
ST101234,AI,Early Revenue,VC Firm,3639307967.85,16201626960.808344,23,2018,155.95
ST101235,Blockchain,Prototype,Angel Investor,4755031620.99,8585773821.412869,18,2015,183.76
ST101236,Sustainability,Prototype,Angel Investor,904543545.88,4188296413.906277,50,2009,100.26
ST101237,Smart Cities,Idea,Angel Investor,101979945.37,376161224.76836926,12,2017,182.99
ST101238,AgriTech,Early Revenue,Government Grant,2555792519.46,12000232525.46886,16,2006,28.58
ST101239,AI,MVP,Corporate R&D,4856932414.6,9646163610.245188,40,2023,101.73
ST101240,Blockchain,MVP,VC Firm,1017757814.02,3547448273.9777856,13,2014,153.09
ST101241,IoT,Prototype,Angel Investor,2816896880.99,5121926972.630684,7,2015,153.91
ST101242,Smart Cities,Prototype,Angel Investor,4392927634.58,10439626222.843712,37,2005,114.2
ST101243,Sustainability,Early Revenue,Angel Investor,1391910338.44,4061576100.046432,39,2021,59.68
ST101244,Smart Cities,Idea,Corporate R&D,3145862293.85,12412655173.660038,3,2006,167.64
ST101245,Smart Cities,Prototype,Corporate R&D,380383416.92,1376179860.9871829,29,2014,22.94
ST101246,Energy,MVP,VC Firm,41661757.11,94123790.32302666,38,2022,174.04
ST101247,AgriTech,Idea,Corporate R&D,624677945.22,3088670277.349103,42,2014,185.45
ST101248,AgriTech,Idea,Government Grant,1094692704.35,2994095949.887983,32,2016,55.72
ST101249,Energy,MVP,Government Grant,4486156477.46,14165912292.55506,28,2016,140.93
ST101250,AgriTech,Idea,Government Grant,88703757.27,422285710.5447471,8,2015,80.53
ST101251,Smart Cities,MVP,Government Grant,2252447364.1,11259922120.352455,19,2008,46.49
ST101252,Blockchain,Early Revenue,Corporate R&D,2204995414.11,3925326530.97432,2,2003,59.15
ST101253,Energy,Prototype,Government Grant,1975875679.01,2990311954.665431,15,2001,89.76
ST101254,IoT,Prototype,VC Firm,1723404222.33,3256182730.6027045,19,2000,110.4
ST101255,Energy,Idea,Government Grant,3671602870.63,15868466059.428335,50,2012,75.3
ST101256,AgriTech,Idea,VC Firm,3049560773.45,11875302087.039412,33,2022,147.13
ST101257,AI,Prototype,Government Grant,2036368763.89,8647704884.018824,25,2014,51.83
ST101258,AgriTech,Prototype,Corporate R&D,528310098.12,2149907346.140903,17,2020,15.9
ST101259,Sustainability,MVP,Angel Investor,4565014056.86,9870101476.261816,47,2010,169.36
ST101260,AgriTech,MVP,Government Grant,4378744563.22,8946468294.407257,23,2003,119.94
ST101261,Smart Cities,MVP,Corporate R&D,4855109499.05,9281122952.183872,40,2007,126.2
ST101262,Energy,Early Revenue,Government Grant,1196890084.19,3154222008.13104,15,2009,114.96
ST101263,Sustainability,Idea,VC Firm,4377784287.92,11162542339.934528,31,2001,189.5
ST101264,AgriTech,Early Revenue,VC Firm,3250955221.43,10793648448.959616,35,2004,78.25
ST101265,IoT,Prototype,Government Grant,1406390384.99,6195931605.553164,29,2010,149.73
ST101266,Smart Cities,Prototype,Government Grant,4183350978.51,16288887941.301018,34,2010,160.31
ST101267,Healthcare,MVP,VC Firm,2311784809.0,10672282677.532808,42,2009,91.45
ST101268,Blockchain,Early Revenue,Angel Investor,4244132731.46,15059468842.963696,10,2016,102.68
ST101269,IoT,Idea,Government Grant,1686987151.83,3668057184.319122,42,2009,102.93
ST101270,Healthcare,MVP,VC Firm,2707525037.76,7568181186.0241,48,2000,110.98
ST101271,Sustainability,Prototype,Angel Investor,4833022671.63,12550137578.581623,25,2000,155.22
ST101272,Energy,MVP,Angel Investor,1419610877.85,5201442305.276614,25,2020,150.21
ST101273,Healthcare,Early Revenue,Corporate R&D,1387581118.37,6324381681.034173,33,2015,182.98
ST101274,Energy,Idea,VC Firm,4616591558.85,19934252590.460457,21,2022,139.41
ST101275,AgriTech,Early Revenue,Government Grant,143235720.71,429307136.7433291,40,2002,64.6
ST101276,Sustainability,Idea,Angel Investor,2495890405.43,8159914257.886801,49,2022,76.71
ST101277,AgriTech,Early Revenue,Angel Investor,2309747431.39,10065710934.930029,20,2023,24.31
ST101278,AgriTech,MVP,Corporate R&D,2467440586.7,6415613966.382173,35,2011,110.08
ST101279,Sustainability,MVP,Angel Investor,2516907093.51,11389904972.704044,34,2012,114.42
ST101280,AgriTech,Prototype,Angel Investor,4739216451.71,15061206050.776203,22,2013,104.61
ST101281,Energy,Idea,Angel Investor,1670948696.64,4207124310.1429377,27,2004,99.76
ST101282,AgriTech,Prototype,Angel Investor,1961132780.92,8835038462.163363,41,2008,50.63
ST101283,Sustainability,Idea,Angel Investor,4887032289.71,22762474960.812943,21,2019,8.18
ST101284,Healthcare,MVP,VC Firm,230823308.26,471465432.8994439,24,2008,58.56
ST101285,IoT,Idea,VC Firm,3718312089.98,9740676546.021536,35,2015,28.88
ST101286,IoT,MVP,Corporate R&D,4569993520.6,17616211899.329117,49,2002,111.36
ST101287,Smart Cities,Early Revenue,Corporate R&D,2463096342.22,5797525361.7301445,10,2008,28.78
ST101288,IoT,Prototype,VC Firm,432959678.22,2026176776.5228336,35,2022,147.58
ST101289,AgriTech,Prototype,VC Firm,2296981968.14,5221087915.170032,8,2002,25.07
ST101290,AgriTech,MVP,Angel Investor,254683922.68,1204206020.1488068,33,2016,187.75
ST101291,Smart Cities,Idea,Angel Investor,2984074141.22,5710441360.761596,40,2005,85.58
ST101292,AgriTech,MVP,Corporate R&D,2296271214.97,5795984197.58002,31,2004,186.26
ST101293,Sustainability,MVP,Angel Investor,4852431726.87,14553917021.408024,15,2002,197.0
ST101294,IoT,Early Revenue,Government Grant,543795010.58,2564630084.4063907,17,2008,72.8
ST101295,Sustainability,Idea,VC Firm,59075949.77,185703402.0413444,15,2023,49.26
ST101296,AgriTech,MVP,Corporate R&D,1411413793.65,2320127875.125932,32,2001,12.08
ST101297,Energy,Early Revenue,Government Grant,1096218354.69,2258455536.491294,42,2004,116.78
ST101298,AgriTech,MVP,Corporate R&D,859887246.74,3571075404.19953,42,2007,150.1
ST101299,Blockchain,MVP,Corporate R&D,1216940883.99,4184770366.631555,47,2010,68.76
ST101300,Sustainability,Early Revenue,VC Firm,4734755254.98,9441460337.097515,39,2002,196.99
ST101301,AgriTech,Prototype,Angel Investor,810195128.56,2674865512.9757214,1,2002,124.31
ST101302,Healthcare,MVP,Government Grant,2027130909.27,6105727847.299487,7,2023,31.16
ST101303,Sustainability,Idea,Angel Investor,4464998246.44,12753041808.536856,25,2010,47.71
ST101304,Energy,Early Revenue,Angel Investor,1369085108.7,3664743901.0416574,40,2020,179.7
ST101305,Sustainability,Idea,Government Grant,2460758946.88,5120263509.632918,34,2018,37.63
ST101306,Blockchain,Early Revenue,VC Firm,2938206896.65,13198408720.960354,2,2017,28.26
ST101307,Blockchain,MVP,Angel Investor,4438211727.34,18832588070.713043,2,2023,119.05
ST101308,AI,Prototype,VC Firm,39078148.28,97633791.29922082,30,2021,35.85
ST101309,Energy,Idea,Corporate R&D,4925177205.06,13742886733.28754,42,2016,95.0
ST101310,AI,Idea,Angel Investor,2066213491.52,5616561257.337475,7,2014,114.16
ST101311,AI,MVP,Corporate R&D,3425903052.1,17077889920.072315,17,2007,108.06
ST101312,Sustainability,Idea,Corporate R&D,2548498043.32,12246569492.938911,45,2014,169.8
ST101313,Sustainability,Early Revenue,Government Grant,3220520356.85,14411258787.728756,11,2015,103.26
ST101314,Energy,Prototype,Angel Investor,11553406.01,37075421.86407081,10,2015,11.5
ST101315,Energy,Early Revenue,Government Grant,2355703371.36,9374424427.182877,1,2017,75.08
ST101316,IoT,Idea,Corporate R&D,2138788395.63,7465602644.471753,44,2016,115.62
ST101317,AgriTech,MVP,Angel Investor,1633899176.81,4067659037.117077,11,2003,145.54
ST101318,Healthcare,MVP,Government Grant,438586889.38,1467572450.5257604,48,2009,155.61
ST101319,AI,Prototype,Government Grant,3339644160.74,11919344438.179293,9,2016,100.67
ST101320,Healthcare,MVP,Angel Investor,2672862788.35,5021419012.373486,14,2001,107.64
ST101321,Energy,MVP,Angel Investor,1148090230.1,4967393685.740578,43,2013,94.04
ST101322,Blockchain,Prototype,Government Grant,3526526809.51,11743319420.285328,33,2014,134.23
ST101323,AI,Idea,VC Firm,2111809441.88,6495821904.510581,26,2007,26.47
ST101324,Sustainability,Early Revenue,Angel Investor,4620648374.82,16250847923.198387,44,2007,129.05
ST101325,Smart Cities,Idea,Government Grant,1347388495.1,6529218352.37181,25,2017,130.55
ST101326,AI,Idea,Angel Investor,2103546360.86,4322484552.051681,26,2021,57.14
ST101327,IoT,Early Revenue,Corporate R&D,4730079716.18,16540848283.891731,6,2008,62.47
ST101328,IoT,Prototype,VC Firm,826224038.06,2925730338.508931,3,2017,153.56
ST101329,Blockchain,Early Revenue,Angel Investor,1998846226.83,5017767936.510153,11,2006,15.91
ST101330,Energy,MVP,Government Grant,2376204297.86,4120223929.069007,12,2020,41.66
ST101331,Healthcare,Idea,Corporate R&D,3561769238.47,17550821649.24754,49,2002,85.39
ST101332,Energy,Early Revenue,VC Firm,2192652726.89,8671784796.854729,14,2008,110.83
ST101333,Energy,Idea,Angel Investor,2330445397.33,5206998792.259365,39,2005,57.77
ST101334,AgriTech,MVP,VC Firm,3083624311.99,10152598115.815544,29,2001,113.04
ST101335,Healthcare,Prototype,Corporate R&D,1679022546.46,5629814946.169414,37,2007,197.68
ST101336,Smart Cities,MVP,Corporate R&D,4322215324.64,14663402318.30824,12,2019,49.27
ST101337,Smart Cities,Idea,Government Grant,482277152.28,1517271641.7017996,28,2009,109.24
ST101338,Energy,MVP,Angel Investor,4008117047.54,18190386182.1034,41,2016,185.48
ST101339,Healthcare,Idea,Angel Investor,4098289196.16,7194917170.138338,35,2010,23.44
ST101340,AI,Early Revenue,Government Grant,287094347.97,648922773.8461758,27,2017,148.71
ST101341,IoT,MVP,Government Grant,919535780.6,3836078373.377357,11,2014,178.97
ST101342,AI,MVP,Corporate R&D,2281176163.51,6462332966.18517,50,2019,144.97
ST101343,IoT,Idea,Corporate R&D,1002280373.62,3394107391.443374,1,2017,24.23
ST101344,AgriTech,MVP,VC Firm,4145362056.65,16065210241.22439,18,2018,197.69
ST101345,AI,Prototype,Government Grant,4037759259.35,17034826851.649698,15,2022,134.75
ST101346,Sustainability,MVP,Government Grant,4157981303.41,6782190588.750233,39,2015,161.47
ST101347,Healthcare,MVP,Corporate R&D,1419136808.43,5811682191.3395,25,2014,5.24
ST101348,Energy,Early Revenue,VC Firm,242512391.57,413892428.0355711,38,2003,127.11
ST101349,Smart Cities,Idea,Government Grant,4148421950.4,16862699828.12996,45,2003,5.96
ST101350,AgriTech,MVP,Government Grant,3091603851.12,8599842620.649998,15,2012,140.24
ST101351,Sustainability,Idea,Corporate R&D,362414203.07,621383628.7499374,32,2002,85.55
ST101352,IoT,MVP,VC Firm,2595310110.14,10817150809.643251,39,2019,60.47
ST101353,Sustainability,Prototype,Angel Investor,1340022974.21,6661879815.768896,32,2015,26.94
ST101354,IoT,Idea,VC Firm,1474706134.12,3176391629.095909,22,2010,45.61
ST101355,AI,Idea,Government Grant,517328216.82,1589186376.6959496,16,2012,99.84
ST101356,AI,Idea,VC Firm,900856525.01,2096805530.590048,31,2008,153.97
ST101357,Smart Cities,MVP,Corporate R&D,4681475819.5,20925689333.644547,33,2001,120.58
ST101358,Sustainability,MVP,Corporate R&D,1651535578.02,4000309636.974512,32,2018,110.45
ST101359,Blockchain,Early Revenue,Government Grant,2569213986.17,10924172239.014729,11,2008,167.94
ST101360,Sustainability,MVP,Corporate R&D,3743116580.71,6787319572.307781,9,2012,133.47
ST101361,Sustainability,Early Revenue,VC Firm,3323863247.98,6057025405.193882,7,2013,28.96
ST101362,Blockchain,Early Revenue,Angel Investor,3936321176.57,18170349967.91561,5,2012,38.17
ST101363,AgriTech,Prototype,Government Grant,285233279.97,1172007391.9287248,28,2020,99.1
ST101364,Energy,Idea,Government Grant,1457690416.24,4967889298.830969,32,2015,32.81
ST101365,AI,Prototype,Government Grant,2574474123.39,9149474170.285318,33,2023,41.97
ST101366,Healthcare,Idea,Corporate R&D,3521568043.79,16191392464.05584,21,2002,13.27
ST101367,Blockchain,Idea,VC Firm,1812793473.01,7494926348.077325,30,2015,26.08
ST101368,Blockchain,Idea,Angel Investor,3195667708.51,8654455788.117918,45,2013,97.71
ST101369,Energy,Early Revenue,Government Grant,735825401.26,1365708277.051301,39,2021,173.34
ST101370,Blockchain,Idea,Angel Investor,2364023787.6,9049682141.514256,38,2008,139.88
ST101371,Smart Cities,MVP,Angel Investor,4141805359.76,18538386921.54374,22,2018,194.39
ST101372,Blockchain,Prototype,Angel Investor,132583941.08,411400260.4382547,48,2012,116.61
ST101373,AI,MVP,Angel Investor,4570117726.93,12813511402.23467,30,2002,88.11
ST101374,Blockchain,Prototype,VC Firm,1696868524.98,3549872933.918329,35,2016,28.73
ST101375,Energy,Prototype,VC Firm,3332363814.46,5415208007.484927,15,2000,45.72
ST101376,Blockchain,Idea,VC Firm,105862397.94,294871496.04016227,31,2014,69.36
ST101377,Blockchain,MVP,Corporate R&D,3173929984.65,15492758510.360104,34,2016,20.24
ST101378,Smart Cities,Prototype,VC Firm,892283017.47,3484734814.046684,45,2003,28.34
ST101379,AgriTech,MVP,Angel Investor,4294562501.1,9538227044.635326,13,2014,74.3
ST101380,Sustainability,Prototype,Corporate R&D,4167110875.19,13548218851.355646,23,2015,65.89
ST101381,Energy,Prototype,VC Firm,2825548558.62,8345723543.279011,45,2010,130.74
ST101382,Smart Cities,MVP,VC Firm,772472857.01,2700556371.793895,25,2021,59.47
ST101383,AI,Idea,VC Firm,445123884.79,1619015803.1723435,28,2022,29.41
ST101384,Smart Cities,Early Revenue,Angel Investor,2156992853.57,7483848146.81636,24,2013,75.45
ST101385,Smart Cities,Idea,Government Grant,2867763758.58,4304575403.62972,14,2009,57.91
ST101386,Blockchain,Early Revenue,VC Firm,235384595.1,858658060.5741794,11,2022,66.34
ST101387,Healthcare,Idea,Corporate R&D,123448746.24,567865270.0401297,6,2003,128.18
ST101388,Healthcare,Prototype,VC Firm,4981122025.5,9011634398.704908,38,2014,145.94
ST101389,Blockchain,MVP,Corporate R&D,945304388.47,3688223858.685347,3,2015,90.31
ST101390,IoT,Early Revenue,Government Grant,3989924157.38,15077677369.532516,8,2007,92.16
ST101391,AI,Idea,VC Firm,4166062815.47,11239276080.907892,49,2000,26.87
ST101392,IoT,Prototype,Government Grant,3981538858.48,17886244432.794212,42,2019,173.32
ST101393,AgriTech,MVP,Corporate R&D,3572948270.5,14193054200.369928,43,2005,25.64
ST101394,AgriTech,Prototype,Government Grant,3769645990.76,17401697103.166683,46,2005,7.24
ST101395,IoT,Idea,Corporate R&D,1773355802.27,7916047553.523195,7,2015,191.34
ST101396,Blockchain,Early Revenue,Corporate R&D,326892759.3,698043508.0433033,31,2007,101.32
ST101397,Sustainability,MVP,VC Firm,366211150.55,1281162948.1134896,16,2008,188.09
ST101398,IoT,Idea,Corporate R&D,1052248692.07,2615442001.314728,23,2019,98.03
ST101399,Energy,Early Revenue,Government Grant,3730660210.74,7591622928.15044,35,2021,104.02
ST101400,Blockchain,MVP,Government Grant,1652318679.17,2695474896.5171924,10,2022,129.22
ST101401,Smart Cities,Idea,Angel Investor,1581990314.06,7256779028.515029,49,2001,64.83
ST101402,AgriTech,Idea,Angel Investor,4484449570.21,13900546207.101622,21,2020,80.27
ST101403,AgriTech,Early Revenue,Corporate R&D,4119207145.09,10815543431.311075,8,2009,188.18
ST101404,AgriTech,Prototype,Government Grant,3714350685.05,7546421990.910514,11,2018,23.64
ST101405,Sustainability,MVP,Corporate R&D,4850319168.21,22472037607.310104,49,2020,58.62
ST101406,Healthcare,Prototype,Government Grant,971971990.34,4816276295.784305,47,2011,32.15
ST101407,AI,Idea,Corporate R&D,411202707.11,1483110391.3556466,49,2022,5.25
ST101408,AI,Prototype,Angel Investor,2619538768.9,5049043254.164422,19,2008,122.24
ST101409,Sustainability,Idea,Angel Investor,4079533092.4,15185792277.551643,11,2017,129.87
ST101410,Energy,Early Revenue,Government Grant,4680140148.8,11075116892.486052,35,2023,51.15
ST101411,Sustainability,Prototype,Angel Investor,4329243710.69,9174277204.742785,36,2001,139.45
ST101412,Energy,Prototype,Corporate R&D,4918505422.7,24263667977.958225,35,2000,29.83
ST101413,Energy,Prototype,Angel Investor,3688620891.76,9319085384.223915,21,2005,40.03
ST101414,Healthcare,Early Revenue,Angel Investor,2262965212.62,4825733504.3910265,13,2015,172.55
ST101415,Healthcare,Idea,Government Grant,2096702465.45,7656335672.869658,6,2007,194.86
ST101416,Smart Cities,MVP,Government Grant,3654038391.18,15526089501.838636,27,2007,151.18
ST101417,Blockchain,Early Revenue,Government Grant,3136740451.46,5678056296.885751,25,2018,143.72
ST101418,Sustainability,MVP,Angel Investor,4472745942.43,16513449432.571129,50,2020,7.77
ST101419,IoT,Prototype,VC Firm,3030201957.25,7112473323.291093,31,2021,190.71
ST101420,Blockchain,Idea,Corporate R&D,3073088932.34,14695712530.722784,48,2000,29.97
ST101421,Smart Cities,Early Revenue,Corporate R&D,3415901545.71,6803928694.667021,21,2009,40.91
ST101422,AI,MVP,VC Firm,434600808.27,1309938725.7558308,42,2021,49.03
ST101423,Sustainability,Idea,Corporate R&D,1402933551.74,5748355807.672658,26,2019,89.17
ST101424,AgriTech,MVP,Angel Investor,4198622862.43,9138209346.077364,23,2014,72.0
ST101425,AI,Early Revenue,Government Grant,4579812319.27,18948354063.326904,25,2009,148.07
ST101426,Sustainability,Idea,Government Grant,513657431.26,1457698197.887969,6,2018,45.74
ST101427,AgriTech,Idea,Government Grant,3518833517.01,10726270703.360489,23,2007,35.44
ST101428,Energy,Prototype,VC Firm,928149478.75,3753369211.128897,45,2017,20.34
